show,name,year_introduced,year_finished,span,number_episodes,total_episodes,dead,month_last_ep,is_male,,,,
24,Richard Heller,2005,2005,1,6,195,FALSE,5,TRUE,,,,
24,Mandy,2001,2005,5,7,195,FALSE,5,FALSE,,,,
90210,Ian,2010,2011,2,9,114,FALSE,2,TRUE,,,,
90210,Gia Mannetti,2009,2010,2,10,114,FALSE,4,FALSE,,,,
90210,Marco Salazar,2011,2011,1,5,114,FALSE,5,TRUE,,,,
90210,Teddy Montgomery,2009,2013,5,58,114,FALSE,5,TRUE,,,,
90210,Adrianna Tate-Duncan,2008,2013,6,114,114,FALSE,5,FALSE,,,,
90210,Shane,2011,2012,2,6,114,FALSE,12,TRUE,,,,
$h*! My Dad Says,Tim,2010,2011,2,6,18,FALSE,2,TRUE,,,,
100 Centre Street,"Attallah ""Queenie"" Sims",2001,2002,2,11,33,FALSE,2,FALSE,,,,
1600 Penn,Marigold Gilchrist,2012,2013,2,13,13,FALSE,3,FALSE,,,,
30 Rock,Devon Banks,2007,2013,7,9,138,FALSE,1,TRUE,,,,
30 Rock,Jonathan,2006,2013,8,63,138,FALSE,1,TRUE,,,,
30 Rock,J.D. Lutz,2006,2013,8,77,138,FALSE,1,TRUE,,,,
A Place To Call Home,Harry Polson,2013,2016,4,13,45,FALSE,11,TRUE,,,,
A Place To Call Home,Henry Fox,2015,2016,2,18,45,FALSE,11,TRUE,,,,
A Place To Call Home,James Bligh,2013,2016,4,45,45,FALSE,11,TRUE,,,,
After Henry,Russell Bryant,1988,1992,5,38,38,FALSE,8,TRUE,,,,
Agents Of S.H.I.E.L.D,Victoria Hand,2014,2014,1,4,74,TRUE,4,FALSE,,,,
Agents of S.H.I.E.L.D.,"Jose ""Joey"" Gutierrez",2015,2016,2,6,74,FALSE,4,TRUE,,,,
Agony,Michael Rob,1979,1981,3,15,20,FALSE,3,TRUE,,,,
Agony Again,Michael,1995,1995,1,6,7,FALSE,10,TRUE,,,,
All About George,Russel,2005,2005,1,6,6,FALSE,11,TRUE,,,,
All In The Family,Beverly La Salle,1975,1977,3,3,208,TRUE,12,TRUE,,,,
All My Children,Maggie Stone,2002,2007,6,61,1071,FALSE,2,FALSE,,,,
All My Children,Lena Kundera,2003,2004,2,22,1071,FALSE,4,FALSE,,,,
All My Children,Zoe Luper,2006,2007,2,59,1071,FALSE,4,FALSE,,,,
All My Children,Reese Williams,2008,2009,2,82,1071,FALSE,4,FALSE,,,,
All My Children,Marissa Tasker,2007,2007,1,22,1071,FALSE,7,FALSE,,,,
All My Children,Kevin Sheffield,1995,1998,4,32,1071,FALSE,7,TRUE,,,,
All My Children,Marissa Chandler,2009,2010,2,222,1071,FALSE,9,FALSE,,,,
All My Children,Bianca Montgomery,2000,2010,11,227,1071,FALSE,9,FALSE,,"
",,
All My Children,Michael Delaney,1995,1997,3,16,1071,FALSE,12,TRUE,,,,
All Saints,Charlotte Beaumont,2002,2009,8,221,492,FALSE,10,FALSE,,,,
Allegiance,Michelle Prado,2015,2015,1,8,13,FALSE,4,FALSE,,,,
Alles was zählt,Deniz Öztürk,2007,2014,8,126,565,TRUE,3,TRUE,,,,
Alles was zählt,Joscha Degen,2013,2014,2,16,565,TRUE,5,TRUE,,,,
Alles was zählt,Roman Wild,2006,2011,6,111,565,TRUE,7,TRUE,,,,
Amar es Para Siempre,Ana Rivas,2008,2012,5,424,1657,TRUE,3,FALSE,,,,
Amar es Para Siempre,Teresa García Guerrero,2008,2012,5,443,1657,TRUE,3,FALSE,,,,
American Crime,Eric Tanner,2016,2016,1,10,21,FALSE,3,TRUE,,,,
American Crime,Taylor Blaine,2016,2016,2,10,21,FALSE,3,TRUE,,,,
American Gothic,Naomi Flynn,2016,2016,1,9,13,FALSE,9,FALSE,,,,
American Gothic,Alison Hawthorne-Price,2016,2016,1,13,13,FALSE,9,FALSE,,,,
American Horror Story,Ramona Royale,2015,2016,1,7,12,FALSE,1,FALSE,,,,
American Horror Story,Will Drake,2015,2016,1,9,12,TRUE,1,TRUE,,,,
American Horror Story,Elizabeth March,2015,2016,1,12,12,TRUE,1,FALSE,,,,
American Horror Story,Wendy,2012,2012,1,5,13,TRUE,1,FALSE,,,,
American Horror Story,Dell Toledo,2014,2015,1,9,13,TRUE,1,TRUE,,,,
American Horror Story,Lana Winters,2013,2013,1,13,13,FALSE,1,FALSE,,,,
American Horror Story,Madison Montgomery,2013,2013,1,13,13,FALSE,1,FALSE,,,,
American Horror Story,Stanley,2014,2015,1,13,13,TRUE,1,TRUE,,,,
American Horror Story,Natacha Rambova,2015,2015,1,3,12,TRUE,12,FALSE,,,,
American Horror Story,Chad Warwick,2011,2011,1,4,12,TRUE,12,TRUE,,,,
American Housewife,Angela,2016,2016,2,9,9,FALSE,3,FALSE,,,,
Angels In America,Roy Cohn,2003,2003,1,5,5,TRUE,12,TRUE,,,,
Angels In America,Joe Pitt,2003,2003,1,5,5,FALSE,12,TRUE,,,,
Angels In America,Louis Ironson,2003,2003,1,5,5,FALSE,12,TRUE,,,,
Angels In America,Prior Walter,2003,2003,1,5,5,FALSE,12,TRUE,,,,
Anger Management,Patrick,2012,2014,3,100,100,FALSE,12,TRUE,,,,
